-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
CH3OH                        32.0420       10.2539      -48.0365      -65.1735       57.5067       21.3790      -36.5385     -112.4825       75.9440
CH3O                         31.0340       10.1639        5.0410      -11.6419       55.9829       19.6989       16.0428      -57.7369       73.7797
CH2OH                        31.0340       11.3258       -4.1122      -21.4993       58.3460       18.4392        6.7507      -69.4571       76.2078
CH2O                         30.0260        8.4558      -26.0893      -41.6675       52.2759       14.8153      -17.7750      -83.5860       65.8110
HCO                          29.0180        8.2681        9.9889       -5.9837       53.5993       11.6621       17.0401      -48.2949       65.3351
HO2CHO                       62.0240       15.1650      -67.4023      -89.4103       73.8524       25.5711      -52.2872     -150.9308       98.6436
HOCHO                        46.0250        9.8688      -90.4721     -108.0715       59.0585       18.1173      -80.1802     -155.9649       75.7847
OCHO                         45.0170       10.0275      -30.9972      -49.1515       60.9206       15.9775      -21.6464      -97.9517       76.3054
C2H6                         30.0700       12.5424      -20.0407      -36.3630       54.7729       29.3195       -4.6460      -83.8933       79.2473
C2H5                         29.0620       12.1077       28.6041       11.3016       58.0621       25.7910       42.5145      -37.8493       80.3638
C2H5O2H                      62.0680       19.2902      -38.7367      -61.2195       75.4456       39.6334      -16.6588     -127.6809      111.0221
C2H5O2                       61.0600       18.1936       -6.8620      -28.8647       73.8347       36.3737       13.4935      -93.2127      106.7062
C2H4                         28.0540       10.2459       12.5449       -3.0728       52.4085       22.4874       24.6481      -47.1216       71.7697
C2H3                         27.0460       10.0515       70.8751       54.2361       55.8357       18.7810       81.4659        8.4339       73.0320
C2H2                         26.0380       10.5126       54.5336       40.2267       48.0097       16.2290       64.3451        0.0815       64.2636
C2H                          25.0300       10.0344      135.7524      120.5642       50.9670       12.5627      143.7376       79.2933       64.4443
C2H5OH                       46.0690       15.6022      -56.1506      -76.1310       67.0482       34.1524      -37.6583     -134.3112       96.6530
C2H5O                        45.0610       15.6272       -3.3123      -22.8707       65.6321       31.2494       13.8378      -79.4504       93.2883
PC2H4OH                      45.0610       16.3316       -6.1729      -27.3664       71.1192       30.6892       11.1574      -88.0954       99.2527
SC2H4OH                      45.0610       15.2993      -13.2148      -33.7932       69.0553       30.0181        3.5080      -92.5826       96.0905
C2H4O2H                      61.0600       20.3926       11.8367       -9.6906       72.2392       37.3289       33.1676      -73.7870      106.9546
C2H4O1-2                     44.0530       11.3764      -12.5803      -29.8749       58.0354       27.5390        2.0934      -79.2491       81.3425
C2H3O1-2                     43.0450       10.9272       39.3041       21.3217       60.3435       23.8317       52.3903      -28.9300       81.3202
CH3CHO                       44.0530       13.2166      -39.7180      -58.5137       63.0726       26.9111      -24.9836     -111.7699       86.7863
CH3CO                        43.0450       12.1336       -2.4633      -21.5081       63.9088       23.1932       10.4846      -74.3892       84.8738
CH2CHO                       43.0450       12.9810        3.0457      -15.7679       63.1328       23.8308       16.7619      -68.7029       85.4648
CH2CO                        42.0370       12.3618      -11.6113      -29.5161       60.0833       20.2498        0.3618      -79.4197       79.7815
HCCO                         41.0290       11.9407       42.6083       25.0619       58.8806       16.9329       53.1460      -23.3166       76.4627
CH3CO3                       75.0430       18.9992      -42.6381      -66.6070       80.4327       33.8590      -23.1345     -135.3575      112.2230
CH3CO3H                      76.0510       20.8012     -139.3283     -162.0153       76.1309       39.5293     -116.3434     -229.8362      113.4928
CH2OHCHO                     60.0520       15.8622      -73.2624      -95.2830       73.8946       30.8311      -56.1131     -157.7233      101.6102
CHOCHO                       58.0360       14.4326      -50.6855      -70.0885       65.1108       25.9628      -35.5761     -125.3037       89.7276
O2C2H4O2H                    93.0580       26.8300      -26.6840      -55.2701       95.9265       45.4059       -0.2507     -139.4921      139.2415
HO2CH2CHO                    76.0510       20.8012     -139.3283     -162.0153       76.1309       39.5293     -116.3434     -229.8362      113.4928
CH3OCHO                      60.0520       14.9169      -85.5083     -105.8919       68.4014       31.2170      -68.5186     -164.1888       95.6702
CH3OCO                       59.0440       16.1723      -38.0924      -59.6563       72.3619       28.9351      -21.6565     -120.7869       99.1304
C3H8                         44.0970       17.5793      -25.0190      -44.2671       64.5909       41.7838       -2.9286     -102.6368       99.7082
IC3H7                        43.0890       15.6582       21.5512        0.8932       69.3223       36.8865       40.9235      -59.1772      100.1007
NC3H7                        43.0890       17.0355       24.2109        3.5281       69.4054       37.5892       44.4632      -57.3462      101.8094
C3H6                         42.0810       15.2027        6.2443      -12.7244       63.6535       34.4393       24.6460      -68.3916       93.0377
C3H5-A                       41.0730       14.7652       42.0860       23.7286       61.6022       31.9633       59.6491      -30.1671       89.8162
C3H5-S                       41.0730       15.4185       63.3477       44.0724       64.6822       30.9690       80.4765      -11.8460       92.3225
C3H5-T                       41.0730       15.1536       59.7777       40.4577       64.8324       31.0657       76.7136      -15.3769       92.0905
C3H5O                        57.0720       18.2064       23.8473        2.0453       73.1608       36.5754       44.2800      -61.8765      106.1564
C3H6O                        58.0800       17.3599      -22.1704      -42.2142       67.2611       39.9345       -0.6618     -102.2394      101.5775
CH3CHCHO                     57.0720       17.0549       -4.9626      -25.5846       69.2014       36.3064       14.8518      -86.1501      101.0020
AC4H7OOH                     88.1060       28.2384      -12.7742      -40.1532       91.8758       58.4476       19.4417     -124.3090      143.7507
CH3CHCO                      56.0640       17.8575      -19.6127      -39.8114       67.7810       32.8756       -0.7278      -99.2502       98.5223
AC3H5OOH                     74.0790       25.0070      -10.1980      -34.6670       82.1108       44.7203       15.3882     -108.4313      123.8195
C3H6OH1-2                    59.0880       19.0738      -15.2629      -39.4218       81.0704       41.7741        7.3603     -109.9519      117.3122
C3H6OH2-1                    59.0880       20.4079      -24.4031      -47.3251       76.9197       41.0633       -1.5372     -115.3731      113.8359
HOC3H6O2                     91.0860       28.2797      -50.7342      -78.3427       92.6458       52.7502      -20.6487     -162.1945      141.5458
SC3H5OH                      58.0800       19.9270      -37.0130      -57.9713       70.3300       39.6733      -14.6536     -121.1443      106.4906
C3H5OH                       58.0800       19.1312      -34.8851      -55.9166       70.5754       40.0449      -12.9605     -118.7689      105.8084
CH2CCH2OH                    57.0720       18.1640       27.0873        4.3645       76.2509       34.9150       46.5991      -61.2495      107.8486
C3H4-P                       40.0650       14.5092       44.3120       26.6314       59.3309       27.7085       59.8623      -24.6784       84.5407
C3H4-A                       40.0650       14.0665       45.6239       28.2898       58.1681       27.9877       61.2624      -22.1803       83.4427
C3H3                         39.0570       15.5037       84.0005       65.7247       61.3284       24.8105       98.8182       13.0416       85.7766
C3H2                         38.0490       13.0734      125.7762      107.6501       60.8255       20.9825      138.3574       56.7879       81.5695
C2H5CHO                      58.0800       17.9830      -44.2509      -64.8185       69.0188       39.3221      -22.9902     -126.0455      103.0552
CH2CH2CHO                    57.0720       17.2805        4.2874      -18.0272       74.8813       35.5331       23.7355      -82.4374      106.1729
RALD3                        57.0720       18.6477       -5.5528      -26.5560       70.4806       39.3668       15.0741      -88.4140      103.4881
C2H3CHO                      56.0640       17.2024      -16.2687      -38.1849       73.5442       34.0166        2.7394     -101.5141      104.2535
CH3COCH3                     58.0800       17.7282      -51.3389      -72.3919       70.6477       38.7585      -30.4385     -134.5286      104.0900
CH3COCH2                     57.0720       17.4027       -7.9702      -29.8678       73.4819       34.9105       11.3827      -93.3223      104.7049
NC4H10                       58.1240       23.5567      -30.0625      -52.1174       74.0096       54.3400       -1.0297     -121.3285      120.2988
PC4H9                        57.1160       22.7896       17.2114       -6.1787       78.4902       50.5294       44.3902      -77.6054      121.9957
SC4H9                        57.1160       22.7209       14.0383       -9.1389       77.7757       50.2693       40.9766      -79.9149      120.8915
IC4H10                       58.1240       23.1666      -32.2627      -53.2061       70.2800       54.4284       -3.1802     -119.7977      116.6175
IC4H9                        57.1160       22.3789       15.1523       -7.5200       76.0812       50.8746       42.6059      -77.3300      119.9359
TC4H9                        57.1160       22.3685       10.0086      -11.7394       72.9797       50.7986       37.4536      -79.3763      116.8299
IC4H8                        56.1080       21.4701       -3.8032      -24.6570       69.9792       46.9085       21.5556      -89.0479      110.6035
IC4H7                        55.1000       21.8490       29.6898        7.8386       73.3259       47.1131       55.0175      -58.8391      113.8566
IC4H7O                       71.0990       23.6582       13.9065      -10.0939       80.5381       48.4108       40.6611      -82.9888      123.6499
C4H8-1                       56.1080       20.4694       -0.1131      -22.0458       73.5997       46.9945       25.1344      -88.7671      113.9016
C4H8-2                       56.1080       20.9210       -2.7231      -23.7290       70.4895       46.5363       22.2227      -88.1511      110.3738
C4H71-3                      55.1000       19.9377       31.9845       10.3191       72.7029       44.2663       56.1055      -55.2139      111.3194
C4H71-4                      55.1000       19.9707       47.9841       25.6628       74.9038       44.0371       71.9115      -41.3031      113.2146
C4H71-O                      71.0990       23.0516       12.9165      -11.0154       80.3084       49.8599       40.5079      -84.1064      124.6143
C4H6                         54.0920       17.7303       26.4845        5.5973       70.0911       39.1440       47.7003      -56.3474      104.0477
C4H5                         53.0840       19.2970       86.0911       64.3180       73.0640       38.8869      107.8685       -0.2823      108.1508
C4H4                         52.0760       17.1080       68.7900       49.0430       66.2650       32.6629       87.3491       -9.0443       96.3934
C4H3                         51.0680       17.9657      129.8801      109.3014       69.0561       30.4633      147.8482       49.3658       98.4824
C4H2                         50.0600       17.5574      110.0153       92.2494       59.6171       26.5987      126.3226       39.6326       86.6900
C6H6                         78.1140       19.5698       19.8038        0.6383       64.3136       50.5230       46.7544      -60.2446      106.9989
FULVENE                      78.1140       20.9867       51.6872       30.8620       69.8833       50.3045       78.9620      -34.3810      113.3430
C6H5                         77.1060       18.4009       80.6051       60.2305       68.3711       46.7821      105.7356       -2.4976      108.2332
C5H6                         66.1030       18.0018       32.0923       12.5709       65.5082       45.8668       56.6176      -47.7776      104.3952
C5H5                         65.0950       18.0420       62.5395       43.6234       63.4769       41.9376       85.5618      -14.7144      100.2763
C5H5CH3                      80.1300       22.8291       26.8237        4.6893       74.2764       56.8611       57.0795      -65.1943      122.2738
C10H8                       128.1740       32.4080       35.9851       12.0325       80.3781       78.9043       78.8613      -69.7905      148.6518
C5H5OH                       82.1020       21.8320       -9.0488      -30.9988       73.6578       50.0148       18.4296      -99.1895      117.6191
C5H5O                        81.0940       20.6024        9.1697      -12.6486       73.2157       46.9133       34.9340      -79.5001      114.4341
C5H4OH                       81.0940       21.3618       16.5490       -5.1048       72.6637       47.0696       42.7740      -71.9882      114.7622
C5H4O                        80.0860       19.5360       12.8379       -7.8123       69.2960       42.9734       36.7052      -70.8969      107.6022
C5H6OH                       83.1100       24.3297        1.4689      -22.3900       80.0637       53.8728       31.0519      -96.4105      127.4624
DMF                          96.1290       27.0078      -30.0037      -54.1138       80.9063       61.5077        3.3000     -130.8045      134.1045
NC3H7OH                      60.0960       20.7338      -61.1331      -84.0760       76.9896       46.2634      -36.1116     -153.1313      117.0196
CH3CHCH2OH                   59.0880       20.8823      -13.8231      -37.7792       80.3895       42.1400        9.3935     -108.4364      117.8299
CH3CH2CHOH                   59.0880       20.4811      -18.1531      -41.2569       77.5297       42.7317        5.3486     -109.9897      115.3384
CH2CH2CH2OH                  59.0880       19.6083      -12.0829      -36.4236       81.6801       42.3870       11.0475     -107.7392      118.7867
CH3CH2CH2O                   59.0880       21.1937       -8.3132      -30.7464       75.2793       43.7313       15.6278      -98.1742      113.8020
IC3H7OH                      60.0960       21.4036      -65.1730      -87.1916       73.8879       46.9302      -39.6042     -154.4554      114.8512
CH2CHOHCH3                   59.0880       20.6644      -16.1031      -39.6718       79.0896       42.8556        7.5632     -109.6365      117.1997
CH3COHCH3                    59.0880       21.7747      -22.0433      -44.4138       75.0690       43.1925        2.1156     -112.0111      114.1267
C3H7CHO                      72.1070       25.1354      -50.3138      -74.8294       82.2673       55.9673      -20.2570     -150.5421      130.2851
RALD4X                       71.0990       24.0386      -10.5136      -34.3232       79.8979       51.7309       16.8308     -106.8177      123.6484
C3H5CHO                      70.0910       21.0209      -19.4132      -43.4020       80.4994       44.4416        5.0857     -114.8059      119.8915
IC3H5CHO                     70.0910       23.0681      -27.3435      -49.5827       74.6284       45.6129       -1.6388     -117.8488      116.2100
NC4H7OH                      72.1070       25.1227      -42.2238      -66.0689       80.0174       52.1636      -13.1104     -140.0487      126.9383
IC4H7OH                      72.1070       24.6124      -38.2637      -62.6990       81.9976       51.1972      -10.1405     -137.3872      127.2467
IC3H7CHO                     72.1070       23.4409      -51.2035      -74.9357       79.6382       51.9596      -22.9956     -147.7923      124.7967
RIBALDB                      71.0990       21.6807        3.2428      -19.6757       76.9079       48.0116       29.3104      -89.3596      118.6700
RIBALDG                      71.0990       21.9297       -1.9485      -26.6948       83.0412       47.8540       24.3460     -100.9165      125.2625
N1C4H9OH                     74.1230       26.3005      -66.1339      -91.9517       86.6368       58.7405      -34.3238     -171.8541      137.5303
CH3CH2CHCH2OH                73.1150       26.4497      -18.8240      -45.6549       90.0367       54.6232       11.1822     -127.1591      138.3413
CH2CH2CH2CH2OH               73.1150       25.1763      -17.0838      -44.2993       91.3273       54.8646       12.8356     -126.4624      139.2980
CH3CH2CH2CH2O                73.1150       26.5644      -13.3140      -38.6221       84.9266       56.2703       17.4056     -116.8579      134.2636
CH3CH2CH2CHOH                73.1150       26.0381      -23.1539      -49.1326       87.1769       55.2056        7.1356     -128.7115      135.8471
CH3CHCH2CH2OH                73.1150       24.4408      -20.1637      -47.2512       90.8977       54.1992        9.0873     -128.6065      137.6938
N2C4H9OH                     74.1230       26.8715      -70.0340      -94.9786       83.7065       58.9766      -37.9503     -173.0690      135.1186
CH2CH2CHOHCH3                73.1150       26.1105      -21.0339      -47.4090       88.5069       55.2333        9.3097     -127.9729      137.2826
CH3CH2CHOHCH2                73.1150       26.1105      -21.0339      -47.4090       88.5069       55.2333        9.3097     -127.9729      137.2826
CH3CHCHOHCH3                 73.1150       25.3450      -23.6838      -49.9517       88.1472       54.6068        6.0568     -129.8011      135.8578
CH3CH2COHCH3                 73.1150       27.2313      -26.9741      -52.1510       84.4863       55.5716        3.8645     -130.3503      134.2147
TC4H9OH                      74.1230       27.0751      -74.5041      -97.6486       77.6664       59.1887      -42.1756     -171.6800      129.5044
RTC4H8OH                     73.1150       26.3167      -25.5039      -50.7257       84.6368       55.4488        5.0838     -128.7537      133.8375
IC4H9OH                      74.1230       26.0359      -67.9039      -92.6429       83.0169       58.5756      -36.2345     -169.8943      133.6599
CH3CHCH3CHOH                 73.1150       26.4012      -24.8440      -49.8154       83.7967       55.1845        5.5945     -127.1856      132.7801
CH3CCH2OHCH3                 73.1150       25.2369      -23.5038      -49.8045       88.2573       53.5554        5.4188     -129.2471      134.6659
CH2CHCH2OHCH3                73.1150       25.2693      -18.9038      -45.0733       87.8173       54.8427       11.0281     -124.7985      135.8265
MEK                          72.1070       24.1304      -57.3094      -81.5223       81.2512       50.1483      -30.0316     -155.1084      125.0768
C5H9OH                       86.1340       31.1727      -47.2747      -73.4165       87.7243       65.6618      -10.4570     -157.4927      147.0357
C4H9CHO                      86.1340       29.9334      -55.2745      -82.5966       91.6849       67.4341      -19.3989     -168.3166      148.9177
IC5H9OH                      86.1340       29.5840      -49.1644      -75.3929       88.0151       64.4166      -13.7471     -158.5990      144.8519
IC4H9CHO                     86.1340       29.9043      -56.6045      -83.0862       88.8649       64.0221      -21.6151     -166.6509      145.0358
RALD5X                       85.1260       29.4519       -6.1944      -34.5119       95.0252       63.3387       27.9199     -121.7487      149.6685
ALDC6                       100.1610       35.6395      -59.2953      -89.3850      100.9721       76.2102      -17.6965     -185.4493      167.7528
RALD6X                       99.1530       34.8205      -20.4352      -49.8575       98.7325       76.4592       20.3441     -143.6250      163.9692
C5H11OH                      88.1500       31.8859      -71.1348      -99.8274       96.2839       71.2178      -32.5355     -190.5795      158.0440
RPENT1OHA                    87.1420       31.6011      -28.1547      -57.0083       96.8241       67.6809        8.9232     -147.4342      156.3574
RPENT1OHB                    87.1420       32.0169      -23.8248      -53.5306       99.6839       67.1068       12.9710     -145.8818      158.8528
IC5H11OH                     88.1500       31.5145      -73.2347     -100.8457       92.6541       70.9080      -34.8932     -188.8596      153.9664
RIPENTOHA                    87.1420       31.8376      -30.1748      -58.0181       93.4340       67.5341        6.9290     -146.1389      153.0679
RIPENTOHB                    87.1420       29.8961      -26.8845      -55.8188       97.0949       66.9194        9.2591     -145.6310      154.8901
C6H13OH                     102.1770       37.1468      -76.4571     -107.8248      105.2606       82.8945      -31.6558     -208.5633      176.9075
RHEX1OHA                    101.1690       36.9100      -33.8046      -65.9101      107.7366       78.7681        9.2302     -167.6140      176.8442
RHEX1OHB                    101.1690       37.0346      -29.9049      -62.0124      107.7430       78.6781       13.1963     -163.8098      177.0061
NC5H12                       72.1510       28.6526      -35.0967      -59.9432       83.3775       66.5352        0.4823     -139.6107      140.0930
NC5H11                       71.1430       27.9588       14.0258      -12.3370       88.4659       62.7403       47.8240      -94.6774      142.5013
NEOC5H12                     72.1510       28.9687      -40.3043      -62.0153       72.8554       67.9065       -3.7644     -134.8788      131.1144
NEOC5H11                     71.1430       28.3873        8.6957      -16.0400       83.0057       63.8031       43.3436      -95.0905      138.4341
NC5H10                       70.1350       25.6638       -7.9838      -32.4726       82.1771       58.9332       23.5990     -108.9787      132.5778
NC5H9-3                      69.1270       24.1458       25.5164        2.1628       78.3678       55.8410       55.4201      -70.6415      126.0615
B1M2                         70.1350       25.8198       -9.0539      -33.2118       81.0670       58.9342       22.6013     -109.0103      131.6116
B1M3                         70.1350       25.9011       -7.9439      -31.7621       79.9270       59.2889       23.9361     -106.8918      130.8278
B2M2                         70.1350       26.2380      -11.7239      -35.1130       78.4868       58.8160       19.8885     -109.1312      129.0196
CYC5H8                       68.1190       19.4126        7.8117      -12.9282       69.5972       52.6656       35.2951      -77.6046      112.8998
LC5H8                        68.1190       25.2066       18.0586       -3.0597       70.8668       52.4544       46.8965      -70.3674      117.2638
CYC5H7                       67.1110       19.0940       41.2507       20.1504       70.8062       49.0899       67.2700      -44.7253      111.9953
LC5H7                        67.1110       22.4367       49.0963       26.0830       77.2258       50.0565       76.3710      -44.5184      120.8894
DIALLYL                      82.1460       28.7984       20.0957       -5.9154       87.2855       64.1132       54.9326      -88.1192      143.0518
RC6H9A                       81.1380       28.3435       56.4057       30.2307       87.8357       62.1415       90.6221      -52.1073      142.7294
CYC6H8                       80.1300       22.2534       22.3167        1.6060       69.4988       59.5424       53.7782      -65.4236      119.2019
CYC6H10                      82.1460       24.3321       -1.1037      -23.6258       75.5777       65.9756       33.2882      -96.5056      129.7938
RCYC6H9                      81.1380       22.7282       32.3966       11.0096       71.7686       62.9018       65.1063      -58.1514      123.2577
CYC6H12                      84.1620       25.0695      -29.5838      -51.9002       74.8874       75.2305        8.7138     -126.0587      134.7725
CYC6H11                      83.1540       23.3609       16.7665       -6.8733       79.3282       70.8299       52.7250      -82.7878      135.5128
NC6H12                       84.1620       31.6068       -9.9673      -37.3679       91.9484       71.5333       28.5787     -124.9427      153.5213
NC7H16                      100.2050       39.5680      -45.0105      -75.4781      102.2402       91.1739        3.9157     -176.3749      180.2907
NC7H15                       99.1970       38.0251        1.2943      -30.8810      107.9709       86.8752       47.8730     -134.4442      182.3173
NC7H14                       98.1890       36.5362      -17.8455      -47.9469      101.0116       83.5969       27.0972     -145.6694      172.7665
NC7H13                       97.1810       24.1458       25.5164        2.1628       78.3678       55.8410       55.4201      -70.6415      126.0615
IC8H18                      114.2320       45.0440      -54.4971      -84.6456      101.1698      105.0109        2.1273     -189.3465      191.4738
IC8H17                      113.2240       44.6982      -11.3947      -41.9443      102.5153      100.4231       43.1398     -146.6218      189.7615
IC8H16                      112.2160       41.5720      -25.9265      -55.5691       99.4717       97.0909       26.3747     -156.4910      182.8658
DIMEPTD                      96.1730       36.5280        1.9109      -25.3095       91.3438       77.2096       44.4944     -115.3070      159.8014
C7H8                         92.1410       24.6690       11.9860      -10.8128       76.5060       62.4447       45.2141      -83.9569      129.1710
C6H5OH                       94.1130       24.6839      -23.0412      -45.4876       75.3235       55.6373        7.7028     -116.8750      124.5777
C6H5CHO                     106.1240       26.6165       -9.3670      -33.3021       80.3192       61.0088       24.1231     -109.7363      133.8594
C6H5CO                      105.1160       26.9202       24.1860       -0.2043       81.8464       56.7401       55.8582      -76.9678      132.8260
C7H7                         91.1330       26.0666       50.3013       27.4355       76.7311       60.2176       83.1357      -46.0471      129.1829
CH3C6H4                      91.1330       24.7638       74.4882       50.3698       80.9343       59.0235      106.2982      -25.2862      131.5844
C6H5O                        93.1050       23.8733       12.9014       -9.3053       74.5192       51.2549       41.3400      -78.8036      120.1436
CYC6H4                       76.0980       18.7287      110.1992       90.0308       67.6792       42.6044      133.5996       28.4834      105.1162
OC6H4OH                     109.1040       25.8331      -36.9652      -60.6355       79.4306       56.9108       -5.3791     -135.4897      130.1106
C6H4O2                      108.0960       25.3059      -27.6241      -50.6100       77.1338       52.9512        2.0273     -122.8664      124.8937
C7H7O2                      123.1310       31.7443       29.1905        0.8545       95.0872       69.6232       67.8158      -89.2553      157.0711
O2C6H4CH3                   123.1310       31.6879       25.7952       -1.6577       92.1240       68.5790       64.1732      -89.6484      153.8217
OC6H4CH2                    106.1240       26.8828       12.7949      -10.9646       79.7298       60.3576       46.1135      -86.9317      133.0452
C6H5CH2O                    107.1320       26.0418       27.9661        1.9904       87.1669       63.4289       62.0509      -79.3268      141.3777
BZCOOH                      124.1390       33.3055       -5.3550      -35.0815       99.7532       74.0208       35.4460     -129.6973      165.1433
C6H5O2                      109.1040       25.7381       34.1777        9.9285       81.3730       56.6332       65.6677      -66.2385      131.9062
RBBENZ                      181.2580       48.3841       67.2462       32.9513      115.0835      115.2983      129.6679      -84.8597      214.5275
STILB                       180.2500       47.9374       57.9212       25.6318      108.3535      113.0503      119.7217      -87.2053      206.9269
HOC6H4CH2                   107.1320       28.3994        5.2254      -19.8754       84.2308       64.7274       40.7712     -100.3275      141.0987
OC6H4CH3                    107.1320       27.3366        3.7286      -21.2414       83.7920       63.2386       38.3076     -100.7351      139.0427
CRESOL                      108.1400       30.0538      -30.7745      -55.9242       84.3949       67.7741        6.4421     -137.5329      143.9750
OOC6H4OH                    125.1030       31.5151       -5.0625      -32.3602       91.6031       61.3558       30.3714     -118.6723      149.0436
C6H4OH                       93.1050       25.1828       38.0962       15.7351       75.0373       52.7088       68.2233      -55.4453      123.6686
FURAN                        68.0750       15.6228       -8.1655      -27.1948       63.8569       37.9826       12.4953      -84.2603       96.7556
CYC5H10                      70.1350       19.3856      -18.8929      -39.7500       69.9902       60.4597       11.7222     -106.0449      117.7671
RCYC5H9                      69.1270       18.2306       27.6073        5.8381       73.0508       55.1741       55.5884      -61.1862      116.7746
RCYC5H9O2                   101.1250       27.1844       -7.5567      -32.2020       82.7024       67.5485       28.5720     -111.4953      140.0673
C5H2                         62.0710       19.8251      165.2305      146.2523       63.6852       32.8061      184.8897       88.8614       96.0283
C5H3                         63.0790       20.9793      135.4097      114.3935       70.5241       34.9092      156.0408       51.6209      104.4199
CYC5H4                       64.0870       16.3181      125.9703      106.7198       64.5990       35.8326      145.7136       49.4416       96.2720
C6H2                         74.0820       24.8280      167.4781      146.1946       71.4211       37.0523      190.3053       80.9419      109.3634
C6H3                         75.0900       24.3855      173.2735      149.9101       78.4007       39.7181      196.9497       79.5504      117.3994
LC6H4                        76.0980       24.5518      122.9830      100.1027       76.7793       45.0625      149.4333       29.5452      119.8881
LC6H5                        77.1060       26.1526      126.9823      102.8301       81.0477       47.2948      154.5330       28.5034      126.0296
LC6H6                        78.1140       26.2073       81.5596       57.8987       79.3991       51.3380      110.8670      -16.0580      126.9250
C7H6                         90.1250       25.7236       84.3161       61.5826       76.2871       56.4300      115.6752      -10.9560      126.6312
C7H5                         89.1170       25.6339      113.3962       89.9504       78.6771       52.4742      143.1502       16.4198      126.7304
C6H5CH2OH                   108.1400       24.6404      -24.2495      -50.8414       89.2346       62.3436        8.9842     -132.9323      141.9164
C6H5C2H                     102.1360       30.0466       75.9153       52.1122       79.8759       61.7248      110.7499      -25.3805      136.1304
C6H5C2H3                    104.1520       28.1385       35.6359       11.5297       80.8933       67.7193       72.3004      -66.9775      139.2778
C6H5C2H5                    106.1680       31.0038        7.1146      -18.0732       84.5226       75.7974       47.7693     -101.3830      149.1524
C6H5C2H2                    103.1440       28.1430       94.0343       69.1243       83.5909       64.4440      129.4637      -10.7996      140.2633
C6H5CHCH3                   105.1600       30.3953       44.4076       18.3758       87.3551       71.2070       82.9178      -65.8500      148.7678
C6H5C2H4                    105.1600       31.1827       56.8042       30.8352       87.1442       71.1079       95.6829      -53.6446      149.3275
C6H4C2H3                    103.1440       27.7843       96.0244       71.0427       83.8311       64.2406      131.1945       -8.8309      140.0254
C6H4C2H                     101.1280       27.0027      133.5815      109.4376       81.0198       57.0272      165.5507       33.0413      132.5094
C8H2                         98.1040       29.4019      226.1456      203.5161       75.9379       46.9064      254.8399      131.5257      123.3142
XYLENE                      106.1680       29.0679        4.4082      -20.7825       84.5325       73.2145       43.1421     -102.7562      145.8983
